                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 15.737,                      0,                      0,                      0,                      0,                      0,                      0,                 25.275,                      0,             0.00015003,             0.00015003,             0.00015003
                      2,                      0,                 15.441,                      0,                      0,                      0,                      0,                      0,                      0,                 25.415,                      0,             0.00025402,             0.00025402,             0.00025402
                      3,                      0,                 15.278,                      0,                      0,                      0,                      0,                      0,                      0,                 25.472,                      0,             0.00029199,             0.00029199,             0.00029199
                      4,                      0,                 15.154,                      0,                      0,                      0,                      0,                      0,                      0,                  25.54,                      0,             0.00026395,             0.00026395,             0.00026395
                      5,                      0,                 15.077,                      0,                      0,                      0,                      0,                      0,                      0,                  25.54,                      0,              0.0001699,              0.0001699,              0.0001699
